question_id,question_text,option_a,option_b,option_c,option_d,correct_option,category,difficulty_level,age_group,skill_tested,time_limit_sec,marks
Q1,What is 25 × 4?,50,75,100,125,C,Math,Easy,10-11,Multiplication,37,1
Q2,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Hard,8-9,Comparison,57,3
Q3,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Medium,10-11,Word Problems,25,2
Q4,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Medium,10-11,Recall,26,2
Q5,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Hard,9-10,Grammar,28,3
Q6,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Hard,10-11,Comparison,29,3
Q7,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Easy,10-11,Sequencing,51,1
Q8,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Hard,8-9,Recall,58,3
Q9,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Easy,9-10,Spelling,29,1
Q10,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Medium,9-10,Spelling,59,2
Q11,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Medium,8-9,Vocabulary,49,2
Q12,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Easy,8-9,Recall,58,1
Q13,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Easy,8-9,Comparison,46,1
Q14,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Hard,8-9,Comparison,39,3
Q15,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Hard,10-11,Word Problems,53,3
Q16,What is 144 ÷ 12?,10,11,12,13,C,Math,Medium,8-9,Division,45,2
Q17,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Easy,10-11,Subtraction,40,1
Q18,Which word rhymes with 'Night'?,Bit,Light,Not,Hit,B,Verbal,Hard,8-9,Phonics,49,3
Q19,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Medium,10-11,Pattern Recognition,30,2
Q20,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Medium,8-9,Geometry,38,2
Q21,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Hard,8-9,Grammar,46,3
Q22,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Medium,11-12,Vocabulary,39,2
Q23,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Medium,10-11,Grammar,24,2
Q24,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Medium,10-11,Recall,21,2
Q25,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Easy,9-10,Sequencing,24,1
Q26,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Medium,11-12,Sequencing,53,2
Q27,Which word rhymes with 'Night'?,Bit,Light,Not,Hit,B,Verbal,Hard,8-9,Phonics,22,3
Q28,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Hard,11-12,Categorization,55,3
Q29,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Medium,8-9,Recall,42,2
Q30,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Hard,9-10,Geometry,53,3
Q31,What is 144 ÷ 12?,10,11,12,13,C,Math,Easy,10-11,Division,45,1
Q32,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Hard,11-12,Pattern Recognition,55,3
Q33,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Hard,9-10,Reasoning,41,3
Q34,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Hard,9-10,Vocabulary,43,3
Q35,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Medium,10-11,Recall,46,2
Q36,What is 144 ÷ 12?,10,11,12,13,C,Math,Easy,8-9,Division,25,1
Q37,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Easy,11-12,Sequencing,25,1
Q38,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Medium,9-10,Comparison,30,2
Q39,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Easy,9-10,Recognition,21,1
Q40,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Medium,11-12,Sequencing,47,2
Q41,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Hard,10-11,Comparison,26,3
Q42,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Medium,9-10,Grammar,22,2
Q43,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Easy,11-12,Pattern Recognition,34,1
Q44,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Hard,10-11,Recognition,35,3
Q45,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Medium,11-12,Comparison,21,2
Q46,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Easy,9-10,Geometry,44,1
Q47,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Easy,10-11,Comparison,52,1
Q48,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Hard,11-12,Categorization,33,3
Q49,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Medium,11-12,Sequencing,54,2
Q50,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Medium,9-10,Categorization,53,2
Q51,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Hard,8-9,Subtraction,41,3
Q52,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Medium,8-9,Recognition,50,2
Q53,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Easy,9-10,Pattern Recognition,30,1
Q54,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Hard,11-12,Pattern Recognition,45,3
Q55,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Medium,8-9,Word Problems,49,2
